time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-21T06:21:10.003Z,-6.8531,107.0946,10,5.6,mww,84,40,0.819,0.58,us,us7000ir9t,2022-11-21T08:25:11.797Z,"18 km WSW of Ciranjang-hilir, Indonesia",earthquake,5.78,1.83,0.063,24,reviewed,us,us
2022-11-21T04:25:38.072Z,29.2105,139.4019,416.432,5.2,mww,121,90,3.909,0.65,us,us7000ir9f,2022-11-21T04:44:29.040Z,"Izu Islands, Japan region",earthquake,10.04,6.529,0.098,10,reviewed,us,us
2022-11-21T03:22:21.358Z,41.5007,-29.3221,10,4.8,mb,80,62,4.746,0.48,us,us7000ir98,2022-11-21T03:53:37.040Z,"273 km NE of Santa Cruz das Flores, Portugal",earthquake,6.89,1.835,0.038,214,reviewed,us,us
2022-11-21T01:41:04.665Z,-4.97,100.7146,24.822,4.9,mb,71,71,2.314,0.76,us,us7000ir8m,2022-11-21T06:48:00.278Z,"215 km SW of Bengkulu, Indonesia",earthquake,6.84,4.408,0.085,44,reviewed,us,us
2022-11-20T23:36:44.616Z,18.6041,-106.4742,10,4.8,mb,77,129,5.068,1.14,us,us7000ir89,2022-11-21T00:48:20.190Z,"180 km SW of José María Morelos, Mexico",earthquake,8.12,1.928,0.035,249,reviewed,us,us
2022-11-20T23:24:59.335Z,35.8333,26.4263,71.385,5.5,mww,227,43,1.366,0.71,us,us7000ir86,2022-11-21T08:04:21.925Z,"64 km NW of Fry, Greece",earthquake,5.08,3.352,0.05,39,reviewed,us,us
2022-11-20T22:17:38.918Z,-27.8978,-66.5947,151.768,4.9,mb,85,43,3.24,0.55,us,us7000ir7p,2022-11-21T00:49:05.040Z,"44 km SW of Andalgalá, Argentina",earthquake,7.82,7.037,0.03,340,reviewed,us,us
2022-11-20T20:19:08.748Z,37.0886,141.0882,61.378,4.5,mb,38,145,2.374,0.68,us,us7000ir7f,2022-11-20T21:22:51.040Z,"18 km ENE of Iwaki, Japan",earthquake,9.61,5.566,0.096,32,reviewed,us,us
2022-11-20T17:41:14.217Z,-22.555,-176.5941,102.987,4.6,mb,17,135,1.889,0.68,us,us7000ir6s,2022-11-20T21:06:41.040Z,"south of the Fiji Islands",earthquake,13.37,8.398,0.125,19,reviewed,us,us
2022-11-20T15:04:28.666Z,-23.388,-179.6256,548.399,4.5,mb,46,110,4.652,0.45,us,us7000ir63,2022-11-20T15:51:59.040Z,"south of the Fiji Islands",earthquake,13.24,8.768,0.082,46,reviewed,us,us
2022-11-20T13:49:17.459Z,-10.4339,123.772,10,5.1,mww,76,63,0.832,0.5,us,us7000ir5k,2022-11-20T15:25:49.040Z,"34 km SSE of Kupang, Indonesia",earthquake,5.06,1.844,0.066,22,reviewed,us,us
2022-11-20T11:03:12.923Z,-42.9281,-82.3365,10,4.9,mb,42,176,6.737,0.4,us,us7000ir51,2022-11-20T11:20:15.040Z,"West Chile Rise",earthquake,8.23,1.925,0.082,46,reviewed,us,us
2022-11-20T09:17:24.841Z,42.9561,144.6605,53.41,4.9,mb,86,60,1.456,0.66,us,us7000ir4k,2022-11-20T11:20:22.203Z,"Hokkaido, Japan region",earthquake,7.1,5.836,0.032,308,reviewed,us,us
